Country,Totallife2000,Malelife2000,Femalelife2000,Totallife2010,Malelife2010,Femalelife2010,Totallife2016,Malelife2016,Femalelife2016,S2000Rural,S2000Urban,S2000Total,W2000Rural,W2000Urban,W2000Total,S2010Rural,S2010Urban,S2010Total,W2010Rural,W2010Urban,W2010Total,S2016Rural,S2016Urban,S2016Total,W2016Rural,W2016Urban,W2016Total
Papua New Guinea,61.9,59.8,64.2,64.6,62.4,66.9,65.9,63.6,68.3,15,58,21,27,83,34,12,54,17,30,84,37,8,49,14,34,86,41
Paraguay,71.1,69.2,73,73.4,71.6,75.3,74.2,72.4,76.1,52,85,70,53,94,75,70,90,82,80,97,90,81,94,89,97,100,99
Peru,71.3,69,73.7,74.6,72.1,77,75.9,73.4,78.3,29,77,64,51,92,81,45,79,71,66,94,87,55,79,74,74,95,91
Philippines,66.9,63.9,70.1,68.3,65.2,71.6,69.3,66.2,72.6,53,72,62,79,93,86,63,75,69,85,96,90,73,78,75,89,97,93
Poland,73.7,69.5,77.9,76.3,72,80.4,77.8,73.8,81.6,77,94,88,0,0,0,91,97,94,95,99,97,99,98,98,99,100,99
Portugal,76.9,73.3,80.4,80,76.8,83,81.5,78.3,84.5,96,98,97,98,99,99,98,99,99,99,100,100,100,99,100,100,100,100
Qatar,76.2,75.3,77.7,77.2,76.3,78.9,78.1,77.3,79.9,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
Republic of Korea,76.3,72.5,79.9,80.7,77.2,83.9,82.7,79.5,85.6,0,0,100,0,0,0,0,0,100,0,0,99,0,0,100,0,0,100
Republic of Moldova,67.4,63.6,71,68.8,64.7,72.9,71.5,67.6,75.3,62,89,74,74,95,83,66,87,75,79,96,86,68,86,76,83,97,89
Romania,71.1,67.6,74.7,73.6,69.8,77.5,75.2,71.6,79,0,0,0,100,100,100,62,94,79,100,100,100,70,95,84,100,100,100
Russian Federation,65,58.7,72,68.9,63,74.8,71.9,66.4,77.2,55,94,83,85,99,95,69,94,88,89,99,96,77,95,90,92,99,97
Rwanda,45.7,43,47,61.6,58,64.9,68,66.1,69.9,42,63,45,41,71,45,59,57,58,48,77,53,68,53,65,52,82,57
