Country,Totallife2000,Malelife2000,Femalelife2000,Totallife2010,Malelife2010,Femalelife2010,Totallife2016,Malelife2016,Femalelife2016,S2000Rural,S2000Urban,S2000Total,W2000Rural,W2000Urban,W2000Total,S2010Rural,S2010Urban,S2010Total,W2010Rural,W2010Urban,W2010Total,S2016Rural,S2016Urban,S2016Total,W2016Rural,W2016Urban,W2016Total
Grenada,70.6,68.2,72.9,72.6,70.2,75.1,73.4,71,75.9,0,0,90,0,0,93,0,0,92,0,0,96,0,0,91,0,0,96
Guatemala,67.6,64.3,71,71,67.7,74.3,73.2,70.4,76,48,82,63,78,95,86,50,80,65,85,97,91,50,79,65,90,98,94
Guinea,51.4,51.1,51.6,57.2,56.5,57.8,59.8,59.4,60.2,3,24,9,53,84,63,11,30,17,52,85,63,16,33,22,49,86,62
Guinea-Bissau,52.7,51.7,53.6,56.8,55.7,57.8,59.8,58.4,61.2,4,25,12,41,74,53,7,32,17,49,81,62,8,37,20,53,84,67
Guyana,64.7,62.3,67.1,65.8,63.4,68.3,66.2,63.6,69,77,84,79,86,93,88,81,89,83,91,97,93,84,92,86,94,100,96
Haiti,58.1,56.3,60,36.2,33.2,40,63.5,61.3,65.7,11,28,17,40,85,56,18,37,27,42,85,62,23,43,34,43,85,65
Honduras,71.1,68.7,73.5,73.9,71.6,76.2,75.2,72.9,77.5,52,76,63,76,95,85,66,81,74,84,98,91,74,85,80,88,99,94
Hungary,71.9,67.6,76.2,74.4,70.5,78.2,76,72.3,79.4,99,98,98,100,100,100,99,98,98,100,100,100,99,98,98,100,100,100
Iceland,79.7,77.6,81.9,81.9,79.9,83.8,82.4,80.9,83.9,100,99,99,100,100,100,100,99,99,100,100,100,100,99,99,100,100,100
India,62.5,61.9,63.1,66.7,65.8,67.6,68.8,67.4,70.3,4,49,16,74,91,79,32,62,41,84,94,87,50,71,57,90,96,92
Indonesia,66.1,64.5,67.7,68,66,70.1,69.3,67.3,71.4,25,63,41,66,90,76,47,73,60,76,93,84,62,79,71,81,95,89
Iran (Islamic Republic of),70.1,69.1,71.2,74,72.6,75.5,75.7,74.6,76.9,79,92,87,90,98,95,79,92,88,89,98,95,79,92,88,89,97,95
Iraq,69.4,67.6,71.4,70.8,69,72.6,69.8,67.5,72.2,56,78,71,53,94,81,73,87,82,75,97,90,86,95,92,89,99,96
Ireland,76.4,73.9,79,80.9,78.7,82.9,81.5,79.7,83.4,92,88,90,97,97,97,93,89,91,98,97,97,94,89,91,98,97,97
Israel,78.3,76.1,80.4,81.8,79.8,83.6,82.3,80.3,84.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Italy,79.6,76.6,82.5,82,79.5,84.4,82.8,80.5,84.9,0,0,0,100,100,100,99,99,99,100,100,100,99,99,99,99,99,99
Jamaica,72.6,70,75.4,74.9,72.5,77.4,76,73.6,78.5,82,82,82,88,98,93,86,84,85,85,96,91,90,86,87,85,96,91
Japan,81.3,77.8,84.6,83,79.6,86.3,84.2,81.1,87.1,0,0,100,0,0,98,0,0,100,0,0,99,0,0,100,0,0,99
Jordan,71.7,70.4,73.2,73.4,71.9,75,74.3,72.7,76,98,99,98,98,100,99,97,98,98,98,99,99,96,98,97,98,99,99
